,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
0,,,,,,,,,,,,,,,,,,,
1,23188,424.6,18779,15199,20197283,이스케이프 룸,2019-03-14,2,4,OLD,2,199565730,160268730,400.6,128250730,9.6,582,1513,20190313
2,1080123,-10.4,11665,-1350,20196601,항거:유관순 이야기,2019-02-27,3,-1,OLD,3,8700869511,88593500,-11.7,-11691740,5.3,614,1463,20190313
3,16210472,-21.5,9226,-2529,20182530,극한직업,2019-01-23,4,-1,OLD,4,139214318806,72160670,-20.5,-18560060,4.3,510,959,20190313
4,2487331,-17.9,8705,-1895,20185881,증인,2019-02-13,5,-1,OLD,5,20095421801,68515820,-17.2,-14279990,4.1,527,1184,20190313
5,2369283,-19,8076,-1900,20177539,사바하,2019-02-20,6,-1,OLD,6,19759761994,66747100,-19.6,-16286920,4.0,504,1087,20190313
6,381011,18.6,3232,507,20184574,그린 북,2019-01-09,7,1,OLD,7,3265475211,21904330,19.2,3523470,1.3,130,193,20190313
7,140675,2.7,2411,64,20180937,더 페이버릿: 여왕의 여자,2019-02-21,8,1,OLD,8,1179520730,19145460,6.5,1173920,1.1,91,180,20190313
8,1332,100,1332,1332,20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,9,0,NEW,9,13320000,13320000,100,13320000,0.8,2,3,20190313
9,1261,100,1261,1261,20197846,악질경찰,2019-03-20,10,0,NEW,10,11357000,11357000,100,11357000,0.7,3,4,20190313
10,891034,-41.1,20715,-14449,20196601,항거:유관순 이야기,2019-02-27,2,-1,OLD,2,7124349041,163282050,-41.3,-114879850,3.5,600,1906,20190306
11,2235241,-52.7,15911,-17739,20177539,사바하,2019-02-20,3,-1,OLD,3,18569271394,132256680,-51.9,-142747330,2.9,524,1444,20190306
12,2355511,-38.1,15115,-9296,20185881,증인,2019-02-13,4,0,OLD,4,18974422551,120170330,-38.1,-74025600,2.6,560,1607,20190306
13,16094590,-52.4,12235,-13449,20182530,극한직업,2019-01-23,5,-2,OLD,5,138218864236,97516410,-52.7,-108801500,2.1,460,902,20190306
14,3999,100,3999,3999,20176103,돈,2019-03-20,6,0,NEW,6,34207000,34207000,100,34207000,0.7,19,19,20190306
