,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
1,962455,49.8,233290,77511,20180442,사자,2019-07-31,2,0,OLD,2,7390315085,2078121895,50.8,699790905,16.6,1154,4673,20190803
2,528249,17.4,124694,18468,20183844,마이펫의 이중생활 2,2019-07-31,3,0,OLD,3,3950187425,1031340325,19.8,170454855,8.2,933,3022,20190803
3,4413464,28.6,103320,22967,20175771,라이온 킹,2019-07-17,4,0,OLD,4,38790192950,894826570,31.7,215507170,7.1,839,2153,20190803
4,12155750,28,86841,18998,20183867,알라딘,2019-05-23,5,0,OLD,5,103553251719,779971510,29.3,176772640,6.2,691,1603,20190803
5,483102,20.6,45484,7775,20198323,레드슈즈,2019-07-25,6,0,OLD,6,3755734820,369590000,22.2,67140670,2.9,558,1002,20190803
6,7987639,24.7,10767,2131,20196309,스파이더맨: 파 프롬 홈,2019-07-02,7,0,OLD,7,68726583480,95749240,26.1,19829180,0.8,173,238,20190803
7,925513,-21.7,6754,-1867,20182490,나랏말싸미,2019-07-24,8,0,OLD,8,7625185333,53568030,-19.5,-12936110,0.4,237,318,20190803
8,10062763,37.2,3491,947,20183782,기생충,2019-05-30,9,0,OLD,9,85696438085,31386840,39.3,8851080,0.3,51,84,20190803
9,182886,55.2,2912,1036,20190002,롱 샷,2019-07-24,10,2,OLD,10,1610037627,26366260,57.9,9670080,0.2,43,65,20190803
10,729165,-6.8,155779,-11292,20180442,사자,2019-07-31,2,0,OLD,2,5312193190,1378330990,2.7,35901330,16.5,1231,5170,20190802
11,403555,-8.3,106226,-9637,20183844,마이펫의 이중생활 2,2019-07-31,3,0,OLD,3,2918847100,860885470,0,-233970,10.3,871,2933,20190802
12,4310144,-8.5,80353,-7504,20175771,라이온 킹,2019-07-17,4,0,OLD,4,37895366380,679319400,0.5,3319820,8.1,825,2130,20190802
13,12068909,4.4,67843,2850,20183867,알라딘,2019-05-23,5,0,OLD,5,102773280209,603198870,17.1,88087050,7.2,653,1487,20190802
14,437618,0.7,37709,247,20198323,레드슈즈,2019-07-25,6,0,OLD,6,3386144820,302449330,11,29980740,3.6,528,902,20190802
15,7976872,6.1,8636,496,20196309,스파이더맨: 파 프롬 홈,2019-07-02,7,1,OLD,7,68630834240,75920060,16.4,10704950,0.9,164,226,20190802
16,918759,-12.3,8621,-1206,20182490,나랏말싸미,2019-07-24,8,-1,OLD,8,7571617303,66504140,-8.8,-6390750,0.8,286,414,20190802
17,10059272,9.8,2544,227,20183782,기생충,2019-05-30,9,2,OLD,9,85665051245,22535760,20.6,3841890,0.3,41,80,20190802
18,209460,-20.3,2476,-629,20192725,명탐정 코난: 감청의 권,2019-07-24,10,0,OLD,10,1662986875,19696508,-14.3,-3281132,0.2,80,89,20190802
19,573386,-56,167071,-213023,20180442,사자,2019-07-31,2,0,OLD,2,3933862200,1342429660,-43.1,-1015750680,18.7,1307,5799,20190801
20,297329,-34.1,115863,-60065,20183844,마이펫의 이중생활 2,2019-07-31,3,0,OLD,3,2057961630,861119440,-25.1,-288395750,12.0,810,2848,20190801
21,4229791,-30.4,87857,-38360,20175771,라이온 킹,2019-07-17,4,0,OLD,4,37216046980,675999580,-16.7,-135749500,9.4,814,2027,20190801
22,12001066,-19.6,64993,-15799,20183867,알라딘,2019-05-23,5,0,OLD,5,102170081339,515111820,-6,-32592960,7.2,608,1327,20190801
23,399909,0.2,37462,80,20198323,레드슈즈,2019-07-25,6,0,OLD,6,3083695490,272468590,3.4,8977960,3.8,448,725,20190801
24,910138,-51.5,9827,-10437,20182490,나랏말싸미,2019-07-24,7,0,OLD,7,7505113163,72894890,-40.4,-49495120,1.0,332,497,20190801
25,7968236,-27.9,8140,-3153,20196309,스파이더맨: 파 프롬 홈,2019-07-02,8,0,OLD,8,68554914180,65215110,-14,-10608940,0.9,164,229,20190801
26,4419,510.5,3797,3175,20191741,앵그리 버드 2: 독수리 왕국의 침공,2019-08-07,9,11,OLD,9,39779000,34173000,509.6,28567000,0.5,19,19,20190801
27,206984,-30.9,3105,-1390,20192725,명탐정 코난: 감청의 권,2019-07-24,10,-1,OLD,10,1643290367,22977640,-22.4,-6630400,0.3,82,97,20190801
28,406315,6405.1,380094,374251,20180442,사자,2019-07-31,2,8,OLD,2,2591432540,2358180340,5099.7,2312828340,27.2,1405,6140,20190731
29,181466,100,175928,175928,20183844,마이펫의 이중생활 2,2019-07-31,3,0,NEW,3,1196842190,1149515190,100,1149515190,13.3,806,2738,20190731
30,4141934,-15.2,126217,-22658,20175771,라이온 킹,2019-07-17,4,-3,OLD,4,36540047400,811749080,-32.2,-386326790,9.4,761,1974,20190731
